Edad,Grado,Calificación,Desempeño
15,3,4,2
16,1,9,1
14,2,8,1
16,1,7,2
16,3,10,1
13,3,6,2
14,2,4,2
14,1,4,2
14,3,7,2
16,2,6,2
15,3,6,2
14,3,9,1
16,1,10,1
13,3,9,1
15,1,9,1
13,3,9,1
15,2,9,1
16,3,9,1
12,1,8,1
15,1,6,2
13,2,9,1
16,3,6,2
15,3,6,2
12,2,5,2
12,3,8,1
14,3,9,1
14,1,4,2
13,3,7,2
15,3,10,1
15,2,4,2
14,2,8,1
15,1,7,2
15,3,8,1
12,3,6,2
14,3,7,2
16,1,6,2
14,1,4,2
16,2,4,2
12,1,7,2
13,3,7,2
15,3,9,1
12,1,8,1
15,3,9,1
13,3,8,1
13,1,9,1
12,1,6,2
13,3,7,2
16,3,4,2
13,3,8,1
15,2,8,1
15,2,4,2
15,2,9,1
15,1,8,1
16,2,10,1
14,1,6,2
12,1,7,2
15,2,4,2
13,2,7,2
15,2,10,1
13,3,8,1
13,2,8,1
15,3,10,1
16,1,4,2
13,3,6,2
13,2,5,2
15,1,4,2
13,1,5,2
13,1,10,1
15,3,9,1
15,2,5,2
12,1,6,2
16,1,9,1
16,1,5,2
13,3,10,1
16,3,9,1
13,2,10,1
12,3,5,2
15,1,10,1
15,2,6,2
15,1,5,2
16,1,5,2
12,3,5,2
16,2,4,2
16,3,4,2
12,3,4,2
12,2,6,2
12,1,9,1
12,1,10,1
15,2,8,1
14,1,5,2
14,2,10,1
12,2,5,2
14,3,6,2
14,2,5,2
12,3,4,2
14,1,8,1
16,1,7,2
13,1,5,1
13,1,10,2
12,3,4,2
